Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
CLCN1	"ClC-1, CLC1"	ENSG00000188037	"Chloride voltage-gated channel 1"	P35523	7	143316111-143352083	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Voltage-gated channel"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"skeletal muscle: 65.9"	"Cell type enriched"	"Detected in some"	6	"Late spermatids: 152.9"	"Low cancer specificity"	"Detected in single"			"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in single"		"non-classical monocyte: 1.4"	"Low lineage specificity"	"Detected in single"			"Cancer enriched"	"Detected in single"	6	"Gallbladder cancer: 3.0"	"Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 7: Monocytes - Unknown function"	"Cluster 33: Striated muscle - Muscle contraction"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 51: Late spermatids - Spermatogenesis"				"unprognostic (5.16e-2)"	"unprognostic (4.99e-2)"	"unprognostic (1.44e-1)"	"unprognostic (2.05e-1)"	"unprognostic (9.53e-2)"	"unprognostic (8.53e-2)"	"unprognostic (1.42e-1)"	"unprognostic (2.56e-4)"	"unprognostic (8.71e-3)"	"unprognostic (2.35e-1)"	"unprognostic (2.90e-3)"	"unprognostic (3.12e-1)"	"unprognostic (2.35e-1)"	"unprognostic (4.30e-2)"	"unprognostic (2.47e-1)"	"unprognostic (3.55e-3)"	"unprognostic (3.57e-2)"
CLCN4	"ClC-4, CLC4"	ENSG00000073464	"Chloride voltage-gated channel 4"	P51793	X	10156975-10237660	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Antiport, Ion transport, Transport"		"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 33.3;retina: 37.9;skeletal muscle: 45.0;tongue: 34.2"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 75.2;Cone photoreceptor cells: 144.8;Excitatory neurons: 45.0;Horizontal cells: 59.0;Inhibitory neurons: 52.7;Oligodendrocytes: 72.3;Rod photoreceptor cells: 45.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"naive B-cell: 2.6;neutrophil: 2.2"	"Group enriched"	"Detected in many"	6	"B-cells: 2.6;granulocytes: 2.2"	"Low cancer specificity"	"Detected in all"			"Testis - Sertoli cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031313, HPA063637"	Enhanced	Approved	Supported	Vesicles		NA	NA			"Cluster 21: B-cells - Adaptive immune response"	"Cluster 54: Non-specific - Microtubule organization"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 44: Photoreceptor cells - Visual perception"	Vesicles		"HPA031313: AB_10601358, HPA063637: AB_2685069"	"unprognostic (1.01e-1)"	"unprognostic (1.20e-2)"	"unprognostic (5.07e-2)"	"prognostic unfavorable (2.13e-5)"	"unprognostic (2.96e-1)"	"unprognostic (3.75e-1)"	"unprognostic (1.04e-2)"	"unprognostic (3.66e-1)"	"unprognostic (1.75e-1)"	"unprognostic (5.99e-2)"	"prognostic favorable (9.55e-4)"	"unprognostic (9.70e-2)"	"unprognostic (9.78e-3)"	"unprognostic (1.68e-1)"	"unprognostic (1.49e-1)"	"unprognostic (1.32e-1)"	"unprognostic (1.74e-1)"
CLCN7	"CLC-7, CLC7, OPTA2, PPP1R63"	ENSG00000103249	"Chloride voltage-gated channel 7"	P51798	16	1444934-1475084	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Antiport, Ion transport, Transport"		"Disease variant, Osteopetrosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Melanocytes: 78.4"	"Cancer enhanced"	"Detected in all"		"melanoma: 42.7"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA043019, HPA043586"	Supported					NA	NA			"Cluster 39: Non-specific - mRNA processing"	"Cluster 18: Non-specific - Mitochondria"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 69: Macrophages - Innate immune response"			"HPA043019: AB_10964727, HPA043586: AB_10965322"	"unprognostic (2.69e-1)"	"unprognostic (3.51e-2)"	"unprognostic (1.22e-1)"	"unprognostic (5.61e-2)"	"unprognostic (1.90e-2)"	"prognostic favorable (5.23e-4)"	"unprognostic (1.59e-2)"	"unprognostic (1.29e-2)"	"unprognostic (1.17e-1)"	"unprognostic (4.65e-2)"	"unprognostic (1.41e-2)"	"unprognostic (3.98e-1)"	"unprognostic (3.49e-3)"	"unprognostic (5.81e-2)"	"prognostic unfavorable (3.21e-4)"	"unprognostic (2.80e-1)"	"unprognostic (2.54e-1)"
CLDN1	"ILVASC, SEMP1"	ENSG00000163347	"Claudin 1"	O95832	3	190305707-190322446	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Host-virus interaction"	"Host cell receptor for virus entry, Receptor"	Ichthyosis	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 309.8;skin 1: 288.2"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 275.1;Basal prostatic cells: 242.9;Basal respiratory cells: 212.0;Basal squamous epithelial cells: 211.0;Ductal cells: 201.0;Salivary duct cells: 241.9;Squamous epithelial cells: 294.6;Suprabasal keratinocytes: 483.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Pancreas - Ductal cells, Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in many"			"Region enriched"	"Detected in some"	12	"spinal cord: 25.4"	"CAB002602, HPA048319"	Enhanced					NA	NA				"Cluster 85: Liver - Metabolism"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"			"CAB002602: , HPA048319: AB_2680355"	"unprognostic (5.89e-2)"	"unprognostic (4.58e-3)"	"unprognostic (1.56e-1)"	"prognostic unfavorable (2.00e-4)"	"unprognostic (7.92e-3)"	"unprognostic (2.43e-1)"	"unprognostic (3.54e-1)"	"unprognostic (2.04e-1)"	"unprognostic (1.48e-1)"	"unprognostic (5.25e-2)"	"prognostic unfavorable (5.23e-4)"	"unprognostic (3.06e-1)"	"unprognostic (1.13e-1)"	"unprognostic (4.43e-2)"	"unprognostic (9.20e-2)"	"unprognostic (1.09e-3)"	"unprognostic (1.22e-1)"
CLDN16	"HOMG3, PCLN1"	ENSG00000113946	"Claudin 16"	Q9Y5I7	3	190322541-190412138	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant, Primary hypomagnesemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"kidney: 63.6"	"Cell type enriched"	"Detected in some"	8	"Distal tubular cells: 121.3"	"Group enriched"	"Detected in many"	15	"ovarian cancer: 39.8;thyroid cancer: 29.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	7	"ovarian cancer: 124.1;Uterine cancer: 158.7"	"Adipose visceral - Mesothelial cells, Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA056020	Enhanced					NA	NA				"Cluster 7: Kidney - Transmembrane transport"	"Cluster 10: Ovarian & Endometrial cancers - Unknown function"	"Cluster 16: Non-specific - RNA binding"			"HPA056020: AB_2683011"	"unprognostic (5.01e-2)"	"unprognostic (7.83e-3)"	"unprognostic (1.96e-1)"	"prognostic unfavorable (1.99e-5)"	"unprognostic (6.06e-4)"	"unprognostic (1.30e-1)"	"unprognostic (2.07e-1)"	"unprognostic (2.39e-2)"	"unprognostic (3.31e-1)"	"unprognostic (4.20e-1)"	"unprognostic (2.76e-3)"	"unprognostic (3.70e-1)"	"unprognostic (1.96e-1)"	"unprognostic (5.76e-2)"	"unprognostic (8.08e-2)"	"unprognostic (1.62e-2)"	"unprognostic (1.15e-1)"
CLDN19		ENSG00000164007	"Claudin 19"	Q8N6F1	1	42733093-42740254	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Sensory transduction, Vision"		"Disease variant, Primary hypomagnesemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	14	"choroid plexus: 19.8;kidney: 39.1;placenta: 9.8"	"Cell type enriched"	"Detected in some"	17	"Extravillous trophoblasts: 265.8"	"Cancer enhanced"	"Detected in some"		"testis cancer: 2.6"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"liver cancer: 2.9;testis cancer: 3.5"	"Kidney - Ascending Loop of Henle cells"	"Region enhanced"	"Detected in many"		"olfactory bulb: 5.4"	"Region enriched"	"Detected in many"	6	"spinal cord: 41.8"	HPA014412			Supported	"Plasma membrane"		NA	NA				"Cluster 7: Kidney - Transmembrane transport"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 54: Extravillous trophoblasts - Unknown function"	"Plasma membrane"		"HPA014412: "	"unprognostic (6.23e-4)"	"unprognostic (1.80e-1)"		"unprognostic (1.85e-6)"	"unprognostic (5.30e-2)"	"unprognostic (1.73e-1)"	"unprognostic (3.21e-2)"	"unprognostic (3.22e-1)"	"unprognostic (9.45e-2)"	"unprognostic (1.95e-1)"	"unprognostic (2.68e-1)"	"unprognostic (7.22e-2)"	"unprognostic (8.76e-3)"	"unprognostic (1.08e-1)"	"unprognostic (1.12e-1)"		"unprognostic (3.29e-3)"
CLDN3	"C7orf1, CPE-R2, CPETR2, HRVP1, RVP1"	ENSG00000165215	"Claudin 3"	O15551	7	73768997-73770270	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Cancer-related genes, Williams-Beuren syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 263.1;thyroid gland: 116.3"	"Group enriched"	"Detected in many"	4	"Distal enterocytes: 2982.2;Endometrial ciliated cells: 1357.2;Enteroendocrine cells: 1248.1;Glandular and luminal cells: 1733.9;Intestinal goblet cells: 1898.0;Paneth cells: 2571.8;Proximal enterocytes: 3285.8;Undifferentiated cells: 1536.6"	"Cancer enhanced"	"Detected in many"		"ovarian cancer: 529.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 160.4"	"Colon - Colon enterocytes, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Stomach - Gastric enteroendocrine cells, Testis - Sertoli cells"	"Region enhanced"	"Detected in single"		"basal ganglia: 1.5"	"Region enhanced"	"Detected in many"		"midbrain: 9.7"	HPA014361	Enhanced		Supported	"Cell Junctions"		NA	NA				"Cluster 87: Intestine & Kidney - Transmembrane transport"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 50: Enterocytes - Absorption"	"Cell Junctions"		"HPA014361: AB_2668982"	"unprognostic (1.84e-1)"	"unprognostic (4.83e-2)"	"unprognostic (2.05e-1)"	"unprognostic (5.27e-2)"	"unprognostic (2.61e-1)"	"unprognostic (1.31e-1)"	"unprognostic (2.79e-2)"	"unprognostic (8.26e-2)"	"unprognostic (3.11e-1)"	"unprognostic (1.46e-1)"	"unprognostic (2.28e-3)"	"unprognostic (1.42e-1)"	"prognostic favorable (3.39e-5)"	"unprognostic (1.46e-2)"	"unprognostic (1.87e-1)"	"unprognostic (5.18e-2)"	"unprognostic (6.72e-2)"
CLDN4	"CPE-R, CPETR, CPETR1, hCPE-R, WBSCR8"	ENSG00000189143	"Claudin 4"	O14493	7	73799542-73832690	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel"	"Cancer-related genes, Williams-Beuren syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 305.0;urinary bladder: 303.5"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 2383.2;Glandular and luminal cells: 2376.1;Ionocytes: 1671.8;Paneth cells: 2229.6;Proximal enterocytes: 1664.3"	"Low cancer specificity"	"Detected in many"			"Region enhanced"	"Detected in single"		"midbrain: 1.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in all"		"Gallbladder cancer: 964.6"	"Colon - Colon enterocytes, Liver - Cholangiocyte, Lung - Alveolar cells type 2, Pancreas - Ductal cells, Skin - Keratinocyte (granular)"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			CAB002610	Enhanced		Supported	"Plasma membrane"		NA	NA				"Cluster 37: Intestine - Unknown function"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 14: Endometrium - Transcription regulation"	"Plasma membrane"		"CAB002610: "	"unprognostic (1.14e-1)"	"unprognostic (2.79e-2)"	"unprognostic (2.25e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.56e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.60e-2)"	"unprognostic (7.09e-2)"	"unprognostic (3.07e-1)"	"prognostic unfavorable (3.28e-4)"	"unprognostic (2.16e-3)"	"unprognostic (5.11e-1)"	"prognostic favorable (3.46e-10)"	"unprognostic (5.77e-2)"	"unprognostic (1.37e-1)"	"unprognostic (9.38e-2)"	"unprognostic (4.63e-2)"
CLIC2	"CLCNL2, XAP121"	ENSG00000155962	"Chloride intracellular channel 2"	O15247	X	155276211-155334657	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Voltage-gated channel"	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 51.3;Alveolar cells type 1: 79.0;Alveolar cells type 2: 44.9;Endothelial cells: 53.3;Langerhans cells: 140.8;Macrophages: 37.8;Schwann cells: 73.5"	"Cancer enhanced"	"Detected in all"		"thyroid cancer: 18.7"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"intermediate monocyte: 18.6;myeloid DC: 47.9;non-classical monocyte: 14.2"	"Group enriched"	"Detected in many"	16	"dendritic cells: 47.9;monocytes: 18.6"	"Cancer enhanced"	"Detected in many"		"Myeloma: 35.7"	"Breast - Endothelial cells, Kidney - Endothelial cells, Pancreas - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells"					"Low region specificity"	"Detected in all"			"HPA047381, HPA060101"	Uncertain		Supported	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA		150000	"Cluster 28: Myeloid DCs - Unknown function"	"Cluster 64: Macrophages - Immune response"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 75: Myeloid cells - Innate immune response"	"Plasma membrane, Cytosol"	Nucleoplasm	"HPA047381: AB_2680022, HPA060101: AB_2684204"	"unprognostic (3.27e-2)"	"unprognostic (5.21e-3)"	"unprognostic (9.70e-2)"	"unprognostic (7.25e-2)"	"unprognostic (9.71e-2)"	"unprognostic (3.78e-2)"	"unprognostic (1.46e-1)"	"unprognostic (4.07e-2)"	"unprognostic (2.95e-1)"	"unprognostic (1.74e-1)"	"unprognostic (1.97e-1)"	"unprognostic (3.31e-1)"	"prognostic unfavorable (1.74e-5)"	"unprognostic (1.97e-2)"	"unprognostic (2.97e-2)"	"unprognostic (6.63e-2)"	"unprognostic (1.54e-1)"
CLIC5	DFNB102	ENSG00000112782	"Chloride intracellular channel 5"	Q9NZA1	6	45880827-46080348	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Hearing, Ion transport, Sensory transduction, Transport, Vision"	"Chloride channel, Ion channel, Voltage-gated channel"	"Deafness, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 102.7;skeletal muscle: 289.7;tongue: 98.3"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 402.2;Cardiomyocytes: 252.0;Distal enterocytes: 76.9;Late spermatids: 107.1;Proximal enterocytes: 116.3"	"Cancer enhanced"	"Detected in many"		"ovarian cancer: 11.6"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"MAIT T-cell: 5.1"	"Lineage enriched"	"Detected in single"	17	"T-cells: 5.1"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 12.2;ovarian cancer: 14.5"	"Breast - Endothelial cells, Kidney - Podocytes, Lung - Alveolar cells type 1, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA074371			Supported	"Nuclear speckles,Plasma membrane"		NA	NA		400000	"Cluster 16: MAIT-cells - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 10: Ovarian & Endometrial cancers - Unknown function"	"Cluster 41: Alveolar cells - Lung function"	"Plasma membrane"	"Nuclear speckles"	"HPA074371: "	"unprognostic (4.95e-2)"	"unprognostic (1.59e-2)"	"unprognostic (8.84e-2)"	"unprognostic (5.05e-2)"	"unprognostic (2.44e-1)"	"unprognostic (6.73e-2)"	"unprognostic (3.37e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.79e-1)"	"unprognostic (6.46e-2)"	"unprognostic (5.50e-2)"	"unprognostic (3.65e-1)"	"unprognostic (6.77e-3)"	"unprognostic (1.22e-1)"	"unprognostic (1.99e-1)"	"unprognostic (8.26e-2)"	"unprognostic (1.01e-1)"
CLN3	"BTN1, BTS, JNCL"	ENSG00000188603	"CLN3 lysosomal/endosomal transmembrane protein, battenin"	Q13286	16	28474111-28495575	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		"Disease variant, Neurodegeneration, Neuronal ceroid lipofuscinosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA063280	Uncertain					NA	NA			"Cluster 31: Non-specific - Inflammatory response"	"Cluster 87: Intestine & Kidney - Transmembrane transport"	"Cluster 8: Non-specific - Transcription"	"Cluster 2: T-cells - T-cell receptor"			"HPA063280: AB_2684975"	"unprognostic (2.38e-3)"	"unprognostic (2.41e-2)"	"unprognostic (7.06e-2)"	"unprognostic (8.83e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.68e-1)"	"unprognostic (2.36e-2)"	"unprognostic (1.69e-2)"	"unprognostic (6.38e-3)"	"unprognostic (8.16e-2)"	"unprognostic (6.27e-2)"	"unprognostic (5.26e-1)"	"unprognostic (9.90e-2)"	"unprognostic (1.06e-1)"	"unprognostic (4.45e-2)"	"unprognostic (1.62e-1)"	"unprognostic (2.05e-2)"
CLN6	"FLJ20561, HsT18960, nclf"	ENSG00000128973	"CLN6 transmembrane ER protein"	Q9NWW5	15	68206992-68257211	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Disease variant, Neurodegeneration, Neuronal ceroid lipofuscinosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in many"	4	"Bipolar cells: 110.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Macrophages, Lung - Macrophages, Stomach - Mitotic cells (Stomach)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA066046, HPA066759"	Approved		Approved	"Nucleoli,Endoplasmic reticulum,Vesicles"		NA	NA			"Cluster 51: Monocytes - Innate immune response"	"Cluster 55: Non-specific - Mitochondria & Proteasome"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 9: Neurons - Nervous system development"	"Endoplasmic reticulum"	"Nucleoli, Vesicles"	"HPA066046: AB_2685604, HPA066759: "	"unprognostic (1.01e-1)"	"unprognostic (1.54e-3)"	"unprognostic (7.01e-2)"	"unprognostic (3.58e-2)"	"unprognostic (2.71e-2)"	"unprognostic (3.08e-1)"	"unprognostic (2.24e-2)"	"unprognostic (5.07e-2)"	"unprognostic (2.40e-2)"	"unprognostic (2.11e-1)"	"unprognostic (1.69e-1)"	"unprognostic (1.85e-1)"	"prognostic favorable (4.87e-4)"	"unprognostic (1.22e-2)"	"unprognostic (2.22e-1)"	"unprognostic (2.49e-1)"	"unprognostic (6.78e-2)"
CLP1	"hClp1, HEAB"	ENSG00000172409	"Cleavage factor polyribonucleotide kinase subunit 1"	Q92989	11	57648188-57661865	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"mRNA processing, tRNA processing"	"Kinase, Transferase"	"Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 32.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Stomach - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA057770	Supported		Supported	Nucleoplasm,Cytosol		NA	NA			"Cluster 18: Basophils - Vesicular transport"	"Cluster 75: Bone marrow - mRNA splicing & Cell cycle"	"Cluster 58: Non-specific - Basic cellular processes"	"Cluster 49: Early spermatids - Spermatogenesis"	Nucleoplasm	Cytosol	"HPA057770: AB_2683523"	"unprognostic (1.33e-1)"	"unprognostic (7.90e-2)"	"unprognostic (1.11e-3)"	"unprognostic (2.13e-2)"	"unprognostic (4.90e-2)"	"unprognostic (3.58e-1)"	"unprognostic (1.93e-3)"	"unprognostic (1.16e-1)"	"unprognostic (3.01e-1)"	"unprognostic (1.66e-2)"	"unprognostic (8.82e-2)"	"unprognostic (7.58e-2)"	"unprognostic (8.31e-3)"	"unprognostic (3.71e-2)"	"unprognostic (1.75e-1)"	"unprognostic (8.78e-2)"	"unprognostic (3.07e-1)"
CLPP		ENSG00000125656	"Caseinolytic mitochondrial matrix peptidase proteolytic subunit"	Q16740	19	6361531-6370242	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Hydrolase, Protease, Serine protease"	"Deafness, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 231.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA010649	Supported		Supported	Mitochondria		NA	NA		8500	"Cluster 20: T-cells - T-cell receptor"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 53: Non-specific - mRNA processing"	"Cluster 18: Non-specific - Mixed function"	Mitochondria		"HPA010649: AB_1078538"	"unprognostic (2.28e-1)"	"unprognostic (7.14e-2)"	"unprognostic (2.82e-1)"	"unprognostic (4.34e-2)"	"unprognostic (2.17e-2)"	"unprognostic (1.15e-2)"	"unprognostic (6.17e-3)"	"unprognostic (7.43e-2)"	"unprognostic (2.76e-1)"	"unprognostic (1.31e-1)"	"prognostic favorable (6.50e-4)"	"unprognostic (1.21e-1)"	"unprognostic (5.65e-2)"	"unprognostic (6.97e-2)"	"unprognostic (1.83e-1)"	"unprognostic (1.03e-1)"	"unprognostic (5.86e-3)"
