Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
CYP3A4	CYP3A3	ENSG00000160868	"Cytochrome P450 family 3 subfamily A member 4"	P08684	7	99756960-99784248	"Cancer-related genes, Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol metabolism"	"Monooxygenase, Oxidoreductase"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"liver: 3796.2"	"Group enriched"	"Detected in some"	59	"Hepatocytes: 2605.9;Proximal enterocytes: 1368.9"	"Cancer enriched"	"Detected in some"	240	"liver cancer: 351.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"					"Low region specificity"	"Detected in all"			"CAB033671, HPA072245, HPA075539"	Enhanced		Approved	Vesicles,Cytosol		NA	NA				"Cluster 85: Liver - Metabolism"	"Cluster 6: BEWO - Unknown function"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	Cytosol	Vesicles	"CAB033671: AB_782375, HPA072245: , HPA075539: "	"unprognostic (4.55e-2)"	"unprognostic (8.95e-2)"	"unprognostic (8.08e-2)"	"unprognostic (1.63e-1)"	"unprognostic (5.89e-2)"	"unprognostic (5.37e-2)"	"unprognostic (7.07e-3)"	"unprognostic (9.09e-2)"	"unprognostic (8.27e-3)"	"unprognostic (4.92e-2)"	"unprognostic (3.78e-2)"	"unprognostic (6.42e-2)"	"unprognostic (1.89e-8)"	"unprognostic (2.59e-1)"	"unprognostic (1.75e-2)"	"unprognostic (9.79e-2)"	"unprognostic (6.82e-2)"
CYP3A5	"CP35, P450PCN3, PCN3"	ENSG00000106258	"Cytochrome P450 family 3 subfamily A member 5"	P20815	7	99648194-99679998	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism, Steroid metabolism"	"Monooxygenase, Oxidoreductase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 177.7;liver: 276.1"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 400.3;Distal enterocytes: 216.9;Gastric mucus-secreting cells: 531.2;Hepatocytes: 415.6;Proximal enterocytes: 1080.4"	"Cancer enhanced"	"Detected in many"		"liver cancer: 38.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Breast - Adipocytes (Breast), Colon - Colon enterocytes, Liver - Hepatocytes, Stomach - Gastric mucous cells"									"HPA072245, HPA075539"			Approved	Vesicles,Cytosol		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 41: Intestine & Liver - Lipid metabolism"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 59: Proximal enterocytes - Transmembrane transport"	Cytosol	Vesicles	"HPA072245: , HPA075539: "	"unprognostic (2.13e-1)"	"unprognostic (4.36e-2)"	"unprognostic (4.04e-2)"	"unprognostic (1.00e-1)"	"unprognostic (1.06e-2)"	"unprognostic (2.73e-1)"	"prognostic favorable (3.72e-5)"	"unprognostic (1.37e-3)"	"unprognostic (1.21e-2)"	"unprognostic (7.29e-3)"	"unprognostic (3.85e-1)"	"unprognostic (4.05e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.00e-1)"	"unprognostic (1.93e-1)"	"unprognostic (2.39e-4)"	"unprognostic (6.58e-3)"
DAD1	OST2	ENSG00000129562	"Defender against cell death 1"	P61803	14	22564907-22589224	"Cancer-related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	Apoptosis		"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA028882	Uncertain		Uncertain	"Endoplasmic reticulum,Cytosol"		NA	NA			"Cluster 12: Non-specific - Basic cellular processes"	"Cluster 68: Epididymis - Unknown function"	"Cluster 17: RS4;11 - Unknown function"	"Cluster 40: Plasma cells - Humoral immune response"	Cytosol	"Endoplasmic reticulum"	"HPA028882: AB_10602214"	"unprognostic (2.76e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.15e-1)"	"unprognostic (1.97e-2)"	"unprognostic (2.02e-1)"	"unprognostic (1.18e-3)"	"prognostic unfavorable (7.73e-4)"	"unprognostic (9.43e-3)"	"unprognostic (3.06e-2)"	"unprognostic (6.09e-2)"	"unprognostic (1.99e-2)"	"unprognostic (9.64e-2)"	"unprognostic (6.62e-3)"	"unprognostic (1.19e-1)"	"unprognostic (3.08e-1)"	"unprognostic (1.93e-1)"	"unprognostic (1.37e-3)"
DAPK1	"DAPK, ROCO3"	ENSG00000196730	"Death associated protein kinase 1"	P53355	9	87497228-87708634	"Cancer-related genes, Enzymes, Human disease related genes, Predicted membrane proteins"	"Apoptosis, Translation regulation"	"Calmodulin-binding, Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 134.7;Excitatory neurons: 118.5;Inhibitory neurons: 152.0;Thymic epithelial cells: 122.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	4	"classical monocyte: 6.7;eosinophil: 8.7;intermediate monocyte: 14.0;myeloid DC: 4.8;non-classical monocyte: 15.2;plasmacytoid DC: 6.2"	"Group enriched"	"Detected in many"	56	"dendritic cells: 6.2;granulocytes: 8.7;monocytes: 15.2"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003516, CAB037302, HPA040472, HPA048436"	Approved		Approved	Centrosome		NA	NA			"Cluster 51: Monocytes - Innate immune response"	"Cluster 29: Non-specific - Vesicular transport"	"Cluster 68: Kidney - Mixed function"	"Cluster 37: Neurons - Neuronal signaling"	Centrosome		"CAB037302: AB_1078622, HPA003516: , HPA040472: AB_2677001, HPA048436: AB_2680390"	"unprognostic (2.55e-1)"	"unprognostic (1.47e-1)"	"prognostic unfavorable (2.48e-5)"	"unprognostic (2.77e-1)"	"unprognostic (1.74e-1)"	"unprognostic (3.47e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.75e-1)"	"unprognostic (1.88e-2)"	"unprognostic (5.77e-3)"	"unprognostic (2.19e-2)"	"unprognostic (2.77e-3)"	"unprognostic (8.31e-3)"	"unprognostic (8.76e-2)"	"unprognostic (2.40e-1)"	"unprognostic (1.68e-1)"	"unprognostic (1.09e-3)"
DAXX	DAP6	ENSG00000204209	"Death domain associated protein"	Q9UER7	6	33318558-33323016	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins"	"Apoptosis, Host-virus interaction, Transcription, Transcription regulation"	"Chaperone, Chromatin regulator, Repressor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB002224, HPA008736, HPA008797, CAB025546, HPA065779"	Enhanced		Enhanced	"Nucleoplasm,Nuclear bodies"		NA	NA			"Cluster 15: NK-cells - Transcription"	"Cluster 72: Non-specific - Transcription"	"Cluster 15: Non-specific - Protein binding"	"Cluster 7: NK-cells - Immune response regulation"	"Nucleoplasm, Nuclear bodies"		"CAB002224: AB_563688, CAB025546: , HPA008736: AB_1078625, HPA008797: AB_2797218, HPA065779: AB_2685558"	"prognostic favorable (6.05e-4)"	"unprognostic (2.90e-1)"	"unprognostic (9.66e-2)"	"unprognostic (4.04e-2)"	"unprognostic (8.55e-2)"	"unprognostic (1.36e-1)"	"unprognostic (1.46e-3)"	"unprognostic (3.48e-1)"	"unprognostic (1.92e-1)"	"unprognostic (8.58e-3)"	"unprognostic (1.34e-1)"	"unprognostic (2.01e-2)"	"prognostic unfavorable (6.32e-7)"	"unprognostic (2.43e-1)"	"unprognostic (5.37e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.04e-1)"
DBI	"ACBD1, ACBP"	ENSG00000155368	"Diazepam binding inhibitor, acyl-CoA binding protein"	P07108	2	119366921-119372560	"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	Transport		"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Hepatocytes: 2831.9;Proximal tubular cells: 2882.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA051428	Approved					NA	NA		9100000	"Cluster 31: Non-specific - Inflammatory response"	"Cluster 27: Brain & Skin - Unknown function"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 3: Suprabasal keratinocytes - Cornification"			"HPA051428: AB_2681482"	"unprognostic (1.24e-1)"	"prognostic favorable (5.77e-5)"	"unprognostic (4.93e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.71e-2)"	"unprognostic (1.92e-2)"	"unprognostic (7.28e-3)"	"unprognostic (1.70e-3)"	"unprognostic (1.71e-1)"	"unprognostic (2.85e-2)"	"unprognostic (1.45e-1)"	"unprognostic (3.56e-2)"	"prognostic unfavorable (3.73e-5)"	"unprognostic (1.03e-1)"	"unprognostic (2.27e-1)"	"unprognostic (5.75e-2)"	"unprognostic (1.45e-1)"
DCC	"IGDCC1, NTN1R1"	ENSG00000187323	"DCC netrin 1 receptor"	P43146	18	52340197-53535903	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	Apoptosis	"Developmental protein, Receptor"	"Cancer-related genes, Disease variant, Intellectual disability, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 6.9;testis: 7.6"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 165.1;Excitatory neurons: 432.1;Inhibitory neurons: 444.1;Late spermatids: 190.5;Oligodendrocyte precursor cells: 1250.6"	"Cancer enhanced"	"Detected in single"		"glioma: 0.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Bone cancer: 7.4;Myeloma: 19.9"	"Testis - Early spermatids, Testis - Late spermatids, Thyroid - Plasma cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA055376, HPA069552"	Enhanced		Approved	"Golgi apparatus"		NA	NA		64000		"Cluster 78: Testis - Spermatogenesis"	"Cluster 51: Myeloma - Humoral immune response"	"Cluster 10: Neurons & Oligodendrocytes - Nervous system development"	"Golgi apparatus"		"HPA055376: AB_2682798, HPA069552: AB_2686151"	"unprognostic (1.96e-3)"	"unprognostic (1.69e-2)"	"unprognostic (3.13e-1)"	"unprognostic (3.90e-3)"	"unprognostic (1.04e-1)"	"unprognostic (1.35e-3)"	"unprognostic (2.59e-1)"	"unprognostic (5.59e-2)"	"unprognostic (2.00e-1)"	"unprognostic (2.58e-1)"	"unprognostic (8.22e-4)"	"unprognostic (4.14e-2)"	"unprognostic (1.27e-4)"	"unprognostic (7.21e-2)"	"unprognostic (1.84e-2)"	"unprognostic (1.42e-1)"	"unprognostic (2.69e-3)"
DCN	"DSPG2, SLRR1B"	ENSG00000011465	Decorin	P07585	12	91140484-91183217	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Cancer-related genes, Corneal dystrophy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 1265.2;Fibroblasts: 6648.3;Leydig cells: 6373.4;Peritubular cells: 1909.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	9	"basophil: 24.5"	"Lineage enriched"	"Detected in single"	35	"granulocytes: 24.5"	"Cancer enriched"	"Detected in all"	4	"Rhabdoid: 698.3"	"Breast - Fibroblasts, Colon - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Pancreas - Fibroblasts, Prostate - Fibroblasts, Skin - Fibroblast_2, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in all"	8	"spinal cord: 544.7"	"HPA003315, CAB017118, HPA064736, CAB068930"	Enhanced				"Secreted to extracellular matrix"	NA	NA		1900000	"Cluster 46: Basophils - DNA binding"	"Cluster 46: Fibroblasts - ECM organization"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 65: Fibroblasts - ECM organization"			"CAB017118: , CAB068930: AB_425394, HPA003315: AB_1078639, HPA064736: AB_2685340"	"unprognostic (1.73e-1)"	"unprognostic (1.90e-1)"	"unprognostic (1.43e-1)"	"unprognostic (3.22e-2)"	"unprognostic (8.63e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.01e-2)"	"unprognostic (2.68e-1)"	"unprognostic (1.98e-1)"	"unprognostic (6.12e-2)"	"unprognostic (1.65e-1)"	"unprognostic (5.15e-2)"	"prognostic unfavorable (1.46e-5)"	"unprognostic (3.06e-3)"	"unprognostic (5.37e-2)"	"unprognostic (1.59e-3)"	"unprognostic (7.56e-3)"
DCTN1		ENSG00000204843	"Dynactin subunit 1"	Q14203	2	74361154-74392087	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, Transport"		"Amyotrophic lateral sclerosis, Cancer-related genes, Neurodegeneration, Neuropathy, Parkinsonism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB009108, HPA034635, HPA071875"	Approved		Supported	"Microtubules,Cytokinetic bridge,Mitotic spindle"		Yes	No		250000	"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 80: Striated muscle - Unknown function"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 15: Smooth muscle cells - Muscle contraction"	Microtubules	"Cytokinetic bridge, Mitotic spindle"	"CAB009108: AB_2090601, HPA034635: AB_2674256, HPA071875: "	"unprognostic (1.14e-1)"	"unprognostic (7.19e-2)"	"unprognostic (1.33e-3)"	"unprognostic (4.08e-2)"	"unprognostic (1.20e-1)"	"unprognostic (2.67e-1)"	"unprognostic (4.61e-3)"	"unprognostic (2.11e-2)"	"unprognostic (2.79e-1)"	"unprognostic (3.73e-3)"	"unprognostic (1.87e-1)"	"unprognostic (2.26e-1)"	"prognostic favorable (2.34e-7)"	"unprognostic (5.41e-2)"	"unprognostic (3.11e-1)"	"unprognostic (7.86e-3)"	"unprognostic (1.12e-3)"
DDB2	"DDBB, FLJ34321, UV-DDB2, XPE"	ENSG00000134574	"Damage specific DNA binding protein 2"	Q92466	11	47214465-47239217	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair, Ubl conjugation pathway"	DNA-binding	"Cancer-related genes, Disease variant, Xeroderma pigmentosum"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB025912, HPA058406"	Enhanced		Supported	"Nucleoplasm,Cell Junctions"		NA	NA			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 31: Skin - Epidermis development"	"Cluster 68: Kidney - Mixed function"	"Cluster 23: Langerhans cells - Immune response"	"Nucleoplasm, Cell Junctions"		"CAB025912: , HPA058406: AB_2683708"	"prognostic favorable (7.29e-4)"	"prognostic favorable (1.58e-4)"	"unprognostic (1.49e-1)"	"prognostic favorable (1.20e-4)"	"unprognostic (4.29e-2)"	"unprognostic (2.04e-2)"	"unprognostic (2.96e-2)"	"unprognostic (6.18e-2)"	"unprognostic (2.25e-1)"	"unprognostic (3.58e-3)"	"unprognostic (3.53e-1)"	"unprognostic (1.94e-1)"	"unprognostic (4.57e-3)"	"unprognostic (1.21e-2)"	"unprognostic (4.25e-2)"	"unprognostic (9.82e-3)"	"unprognostic (1.07e-1)"
DDIT3	"CHOP, CHOP10, GADD153"	ENSG00000175197	"DNA damage inducible transcript 3"	P35638	12	57516588-57521737	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Apoptosis, Cell cycle, Growth arrest, Stress response, Transcription, Transcription regulation, Unfolded protein response, Wnt signaling pathway"	"Activator, DNA-binding, Repressor"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Breast myoepithelial cells: 349.0;Cardiomyocytes: 484.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 170.7"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Stomach - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA058416, HPA068416"	Uncertain		Supported	Nucleoplasm		No	No			"Cluster 33: Neutrophils - Chromatin organization"	"Cluster 48: Parathyroid gland - membrane proteins"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 11: Non-specific - Transcription"	Nucleoplasm		"HPA058416: AB_2683712, HPA068416: AB_2685985"	"unprognostic (1.12e-1)"	"unprognostic (5.33e-2)"	"unprognostic (2.20e-3)"	"unprognostic (4.92e-2)"	"unprognostic (7.86e-3)"	"unprognostic (2.28e-1)"	"prognostic unfavorable (6.55e-4)"	"unprognostic (8.55e-2)"	"unprognostic (1.26e-3)"	"unprognostic (9.40e-3)"	"unprognostic (4.92e-2)"	"unprognostic (4.16e-2)"	"unprognostic (3.52e-2)"	"unprognostic (3.70e-1)"	"unprognostic (1.62e-1)"	"unprognostic (2.56e-1)"	"unprognostic (6.76e-2)"
DDR2	"NTRKR3, TKT, TYRO10"	ENSG00000162733	"Discoidin domain receptor tyrosine kinase 2"	Q16832	1	162631373-162787405	"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	Osteogenesis	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, Dwarfism, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 86.1;Fibroblasts: 127.3;Leydig cells: 64.0;Peritubular cells: 87.2;Smooth muscle cells: 77.2;Thymic epithelial cells: 70.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 43.6"	"Lung - Fibroblast_1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA070112			Approved	"Plasma membrane,Actin filaments"		Yes	No		770000		"Cluster 57: Non-specific - Angiogenesis"	"Cluster 59: Fibroblasts - Metabolism"	"Cluster 15: Smooth muscle cells - Muscle contraction"	"Plasma membrane, Actin filaments"		"HPA070112: AB_2686229"	"unprognostic (4.12e-2)"	"unprognostic (2.73e-1)"	"unprognostic (6.97e-3)"	"unprognostic (4.52e-2)"	"unprognostic (1.17e-1)"	"unprognostic (8.16e-2)"	"unprognostic (1.81e-1)"	"unprognostic (1.19e-1)"	"unprognostic (6.62e-2)"	"unprognostic (2.24e-2)"	"unprognostic (1.00e-1)"	"unprognostic (1.15e-1)"	"prognostic unfavorable (1.73e-7)"	"unprognostic (1.56e-3)"	"unprognostic (8.26e-3)"	"unprognostic (7.57e-2)"	"unprognostic (4.10e-3)"
DDX10	"Dbp4, HRH-J8"	ENSG00000178105	"DEAD-box helicase 10"	Q13206	11	108665069-108940927	"Cancer-related genes, Enzymes, Predicted intracellular proteins"		"Helicase, Hydrolase, RNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 124.1;Proximal tubular cells: 143.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"							HPA004691	Approved		Approved	Nucleoli		NA	NA			"Cluster 12: Non-specific - Basic cellular processes"	"Cluster 23: Testis - Cell cycle regulation"	"Cluster 58: Non-specific - Basic cellular processes"	"Cluster 60: Proximal tubular cells - Absorption"	Nucleoli		"HPA004691: AB_1078629"	"unprognostic (9.49e-2)"	"unprognostic (9.32e-2)"	"unprognostic (1.34e-1)"	"unprognostic (2.58e-1)"	"unprognostic (7.97e-2)"	"unprognostic (1.48e-2)"	"prognostic unfavorable (2.52e-5)"	"unprognostic (2.86e-2)"	"unprognostic (1.23e-2)"	"unprognostic (1.06e-1)"	"prognostic unfavorable (5.75e-4)"	"unprognostic (1.00e-1)"	"prognostic favorable (2.14e-5)"	"unprognostic (5.20e-2)"	"unprognostic (1.98e-1)"	"unprognostic (4.64e-1)"	"unprognostic (2.43e-3)"
DDX3X	"DBX, DDX14, DDX3, HLP2"	ENSG00000215301	"DEAD-box helicase 3 X-linked"	O00571	X	41333348-41364472	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Apoptosis, Chromosome partition, Host-virus interaction, Immunity, Innate immunity, Ribosome biogenesis, Transcription, Transcription regulation, Translation regulation"	"DNA-binding, Helicase, Hydrolase, RNA-binding"	"Cancer-related genes, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 906.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001648, HPA005631, HPA059585"	Supported	Supported	Approved	Nucleoplasm,Cytosol		NA	NA		260000	"Cluster 18: Basophils - Vesicular transport"	"Cluster 52: Non-specific - Ribosome"	"Cluster 48: Non-specific - RNA binding"	"Cluster 11: Non-specific - Transcription"	Cytosol	Nucleoplasm	"HPA001648: AB_1078635, HPA005631: AB_1078633, HPA059585: AB_2684073"	"unprognostic (2.42e-2)"	"unprognostic (1.11e-1)"	"unprognostic (8.01e-3)"	"unprognostic (1.66e-1)"	"unprognostic (8.12e-2)"	"unprognostic (6.43e-2)"	"unprognostic (1.17e-3)"	"unprognostic (1.88e-1)"	"unprognostic (9.80e-2)"	"unprognostic (1.40e-1)"	"unprognostic (3.25e-2)"	"unprognostic (2.05e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.95e-1)"	"unprognostic (4.77e-1)"	"unprognostic (9.44e-2)"	"unprognostic (2.93e-2)"
