,SHAP_mean,Abundance_rank,Abundance_mean,Abundance_std,description,SHAP_rank,Group
P23246,0.05284179554932479,9.0,0.7187063564792933,0.14175039028976186,"Splicing factor, proline- and glutamine-rich ",80.0,CRC
Q9NTX5,0.05231827699694937,14.0,0.6815532476461758,0.15341059518372535,Ethylmalonyl-CoA decarboxylase ,81.0,CRC
P32119,0.052175564005692246,13.0,0.6956515201668572,0.1063838660820185,Peroxiredoxin-2 ,82.0,CRC
P00338,0.04980755101294498,12.0,0.8218950359895836,0.05465419024918461,L-lactate dehydrogenase A chain ,83.0,CRC
Q8WUF5,0.046143180915421064,13.0,0.5801912312138648,0.17580051313862063,RelA-associated inhibitor ,84.0,CRC
P19367,0.04507243896475276,4.0,0.6399705329859251,0.10670676137035795,Hexokinase-1 ,85.0,CRC
Q9Y490,0.042806308222671584,5.0,0.5575611338571494,0.1257607412517671,Talin-1,86.0,CRC
Q8TEM1,0.04144046724630937,7.0,0.4448055324593488,0.15510189389958398,Nuclear pore membrane glycoprotein 210 ,87.0,CRC
P05787,0.037045431359498227,9.0,0.6246991972647482,0.16505242271890938,"Keratin, type II cytoskeletal 8 ",88.0,CRC
Q9UHD8,0.03423153784162872,8.0,0.4712126067890806,0.1674312008291093,Septin-9 ,89.0,CRC
O00425,0.02996464346248503,4.0,0.5995059110986113,0.06944707758128994,Insulin-like growth factor 2 mRNA-binding protein 3 ,90.0,CRC
P21980,0.02909602989273605,3.0,0.31582957770742104,0.257979206637145,Protein-glutamine gamma-glutamyltransferase 2 ,91.0,CRC
Q6NZI2,0.02791913571228419,6.0,0.47054632353535264,0.20220158002172883,Caveolae-associated protein 1 ,92.0,CRC
O75828,0.02701859436080354,8.0,0.43162055884580164,0.2568048693965488,Carbonyl reductase [NADPH] 3 ,93.0,CRC
Q9NU22,0.02477389891952056,10.0,0.40988872266456,0.1730557013585546,Midasin ,94.0,CRC
Q9BW60,0.020193388235222143,7.0,0.5159593044710236,0.08350641542311603,Elongation of very long chain fatty acids protein 1 ,95.0,CRC
Q92820,0.018867617413372742,8.0,0.5394148515419658,0.1523092156830468,Gamma-glutamyl hydrolase ,96.0,CRC
P04083,0.01844669150066309,7.0,0.7004270325612355,0.13360320280654356,Annexin A1 ,97.0,CRC
P20700,0.018004925163274718,4.0,0.3186708958064253,0.2455664277062086,Lamin-B1,98.0,CRC
Q14126,0.01792556566912597,12.0,0.6562319041825373,0.11195827151202888,Desmoglein-2 ,99.0,CRC
Q9Y5V3,0.017684816986971053,5.0,0.2844287280142209,0.13820969392563476,Melanoma-associated antigen D1 ,100.0,CRC
O75475,0.017535048611770875,9.0,0.6401885513582711,0.1294706071330323,PC4 and SFRS1-interacting protein ,101.0,CRC
Q9UIQ6,0.01696898719844038,9.0,0.5925047013334306,0.14277012598111305,Leucyl-cystinyl aminopeptidase ,102.0,CRC
Q9Y5Q9,0.01587316502527414,10.0,0.396240835480683,0.17881290237142256,General transcription factor 3C polypeptide 3 ,103.0,CRC
P19174,0.014268984094261054,5.0,0.3732486129240459,0.22877846428100226,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 ",104.0,CRC
P29218,0.013729071171341568,7.0,0.4003111768711237,0.1654436360781676,Inositol monophosphatase 1 ,105.0,CRC
O75533,0.009468993639300346,5.0,0.7049485495840763,0.04645846014523602,Splicing factor 3B subunit 1 ,106.0,CRC
Q08J23,0.009019129795952787,11.0,0.6175200051325841,0.1483678988000187,RNA cytosine C,107.0,CRC
P12956,0.008900135511864343,6.0,0.4229254343305052,0.23657518355702584,X-ray repair cross-complementing protein 6 ,108.0,CRC
P17655,0.008885397731383964,9.0,0.6365312694218246,0.10792469762706144,Calpain-2 catalytic subunit ,109.0,CRC
Q3KQU3,0.007297085246708475,3.0,0.4276208604226116,0.12534254144529952,MAP7 domain-containing protein 1 ,110.0,CRC
P11766,0.007229588786993786,7.0,0.5505502191933008,0.12378058972219907,Alcohol dehydrogenase class-3 ,111.0,CRC
P18206,0.007022903068252368,6.0,0.7657861432204799,0.07548726055471841,Vinculin ,112.0,CRC
Q9Y223,0.006536895081964529,7.0,0.36087199144381465,0.1836900632230752,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,113.0,CRC
P09382,0.006033314255583528,2.0,0.46608978554882396,0.18534288524238068,Galectin-1 ,114.0,CRC
P17301,0.005998447505427982,11.0,0.5583102117922901,0.190072663970489,Integrin alpha-2 ,115.0,CRC
P31146,0.0059465697506229254,6.0,0.32490579132808045,0.1343555409524676,Coronin-1A ,116.0,CRC
P16989,0.005125918128412117,9.0,0.7108186273072342,0.13793743898085026,Y-box-binding protein 3 ,117.0,CRC
P51452,0.005054209309336324,7.0,0.39716535528309416,0.11768855220199026,Dual specificity protein phosphatase 3 ,118.0,CRC
P48735,0.0037197952288977785,7.0,0.6721275868938243,0.19061956829239984,"Isocitrate dehydrogenase [NADP], mitochondrial ",119.0,CRC
P48960,0.0032293322972720842,10.0,0.6461750108236396,0.17866894833976824,Adhesion G protein-coupled receptor E5 ,120.0,CRC
P61978,0.0023487747654332017,5.0,0.449813576717805,0.21642512204784478,Heterogeneous nuclear ribonucleoprotein K ,121.0,CRC
Q15393,0.0019115060665902614,4.0,0.6111958907255606,0.0890690018411042,Splicing factor 3B subunit 3 ,122.0,CRC
Q13151,0.0019050351000425576,7.0,0.6019874690596001,0.1069859416224053,Heterogeneous nuclear ribonucleoprotein A0 ,123.0,CRC
Q9NZM1,0.001192619066063428,8.0,0.6234292402347382,0.16621479078993467,Myoferlin ,124.0,CRC
O00154,0.0007261505781319627,5.0,0.507776828165658,0.1488184580312516,Cytosolic acyl coenzyme A thioester hydrolase ,125.0,CRC
Q9UQE7,0.0007029138142403202,7.0,0.7355909695669276,0.09987161982083506,Structural maintenance of chromosomes protein 3 ,126.0,CRC
P05783,0.00022063601433556373,7.0,0.4333828467426546,0.213580489005248,"Keratin, type I cytoskeletal 18 ",127.0,CRC
O75976,-0.0005637383488858332,9.0,0.47407641761250885,0.15555030140075854,Carboxypeptidase D ,128.0,CRC
Q12965,-0.001060760279287278,10.0,0.5702898371000971,0.11687642437923483,Unconventional myosin-Ie ,129.0,CRC
P30038,-0.001081402836408351,12.0,0.5099498646655153,0.0974021177961415,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",130.0,CRC
Q8TBX8,-0.002160391293108069,10.0,0.4078252033917134,0.13470235965236796,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,131.0,CRC
P07948,-0.00326804132802614,10.0,0.4391994906984842,0.1180811982157768,Tyrosine-protein kinase Lyn ,132.0,CRC
Q8TDZ2,-0.0034223475921743183,7.0,0.37371475821150857,0.1562006840554164,[F-actin]-monooxygenase MICAL1 ,133.0,CRC
Q15459,-0.005206622459805351,5.0,0.5720039663672124,0.11071207729280506,Splicing factor 3A subunit 1 ,134.0,CRC
Q9Y5B9,-0.0075834848301101244,6.0,0.7270349369075839,0.08093339506875145,FACT complex subunit SPT16 ,135.0,CRC
Q99584,-0.008548031365734357,6.0,0.5801046258119638,0.13904775941214065,Protein S100-A13 ,136.0,CRC
P78527,-0.008751510129793373,11.0,0.8355566829105907,0.08350914533060749,DNA-dependent protein kinase catalytic subunit ,137.0,CRC
P12270,-0.012599069063522665,7.0,0.6255593924387816,0.09950342510844763,Nucleoprotein TPR ,138.0,CRC
Q6WKZ4,-0.015336168221014686,13.0,0.4390512532549178,0.15873936916566475,Rab11 family-interacting protein 1 ,139.0,CRC
P15924,-0.016492315919511755,7.0,0.6336341724413591,0.1639017741373799,Desmoplakin ,140.0,CRC
P78417,-0.017396730865854138,10.0,0.5120887112901047,0.1897558210523961,Glutathione S-transferase omega-1 ,141.0,CRC
Q15029,-0.01824578442743001,4.0,0.4324075777078071,0.14467583559358313,116 kDa U5 small nuclear ribonucleoprotein component ,142.0,CRC
Q08211,-0.02166414104227015,4.0,0.5555965831733032,0.0850580888572381,ATP-dependent RNA helicase A ,143.0,CRC
P14923,-0.023119169473620006,12.0,0.7195693821141897,0.18129647709654062,Junction plakoglobin ,144.0,CRC
Q7Z2K8,-0.02380948841507297,4.0,0.2730669908864772,0.14554601428507233,G protein-regulated inducer of neurite outgrowth 1 ,145.0,CRC
Q9UJC3,-0.02546934414831418,14.0,0.7512643329161507,0.24837517689553715,Protein Hook homolog 1 ,146.0,CRC
Q14247,-0.028543616865290302,8.0,0.7517183253021054,0.11414577729530576,Src substrate cortactin ,147.0,CRC
Q96DG6,-0.031147678512777874,14.0,0.6987523528491006,0.17524239115396628,Carboxymethylenebutenolidase homolog ,148.0,CRC
Q15555,-0.033573019652735556,4.0,0.36063387177653217,0.1734319675862048,Microtubule-associated protein RP/EB family member 2 ,149.0,CRC
Q96HQ2,-0.03710567745730328,7.0,0.4262832982780403,0.18958760212209302,CDKN2AIP N-terminal-like protein ,150.0,CRC
Q9HC35,-0.0377549026707807,12.0,0.38624313178848363,0.10305394359533028,Echinoderm microtubule-associated protein-like 4 ,151.0,CRC
Q9NS86,-0.039540300238705896,5.0,0.3252196441662583,0.09917173387165486,LanC-like protein 2 ,152.0,CRC
Q9UIG0,-0.043045815114607054,4.0,0.38230721124220046,0.10999457265528965,Tyrosine-protein kinase BAZ1B ,153.0,CRC
O60264,-0.0468307500033004,5.0,0.5163564028883638,0.0678169758108639,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,154.0,CRC
P12814,-0.05765504953156387,4.0,0.3168125168953426,0.21566757252534324,Alpha-actinin-1 ,155.0,CRC
Q9UKN8,-0.06671224624231592,8.0,0.4321954164507127,0.15690714130230488,General transcription factor 3C polypeptide 4 ,156.0,CRC
Q53EP0,-0.09363156635172873,8.0,0.4361892172782212,0.17596184833048562,Fibronectin type III domain-containing protein 3B ,157.0,CRC
P26038,-0.12044478918027535,1.0,0.4244263903700092,0.23571670053288837,Moesin ,158.0,CRC
Q14116,-0.1250161770679012,11.0,0.574439511664649,0.22373062256544274,Interleukin-18 ,159.0,CRC
Q9Y5Z4,-0.19594112191449922,10.0,0.7389257114680493,0.15233658663393393,Heme-binding protein 2 ,160.0,CRC
Q02952,-0.20826703100855207,6.0,0.34378357316981395,0.23416501266854142,A-kinase anchor protein 12 ,161.0,CRC
P48681,0.4750703355781221,4.0,0.22911736740114877,0.1088303646827986,Nestin,1.0,Ductal_breast
P29373,0.4524567480182272,12.0,0.6300380208539366,0.25788730827949896,Cellular retinoic acid-binding protein 2 ,2.0,Ductal_breast
Q8IYS1,0.41280818619739373,3.0,0.2238403972386121,0.14998730592708512,Peptidase M20 domain-containing protein 2 ,3.0,Ductal_breast
Q02952,0.4072678020847268,2.0,0.28074856137077236,0.21068822810173604,A-kinase anchor protein 12 ,4.0,Ductal_breast
P21266,0.3766092414976899,13.0,0.5439854259450465,0.21854470233567763,Glutathione S-transferase Mu 3 ,5.0,Ductal_breast
O00425,0.35331870704108165,3.0,0.5405456260740754,0.13938599076737188,Insulin-like growth factor 2 mRNA-binding protein 3 ,6.0,Ductal_breast
O75976,0.3363866124117787,5.0,0.3010284735015897,0.21501800562292633,Carboxypeptidase D ,7.0,Ductal_breast
P30038,0.32141427581131277,13.0,0.5386894279633812,0.1542545615613075,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",8.0,Ductal_breast
Q15149,0.3121767533467415,12.0,0.6308075398563714,0.12986877849268577,Plectin ,9.0,Ductal_breast
Q9NTX5,0.3066408787903588,3.0,0.26373680849199443,0.1994423261820899,Ethylmalonyl-CoA decarboxylase ,10.0,Ductal_breast
P11388,0.28442503791655216,10.0,0.7122976465305609,0.11050507536682973,DNA topoisomerase 2-alpha ,11.0,Ductal_breast
P05787,0.279326931751999,15.0,0.7895384963795106,0.1767781582326111,"Keratin, type II cytoskeletal 8 ",12.0,Ductal_breast
Q9UIQ6,0.26915910901152645,6.0,0.4332432504711237,0.1593848312659646,Leucyl-cystinyl aminopeptidase ,13.0,Ductal_breast
P12814,0.2591592216723947,6.0,0.3362931556381071,0.27084302846743824,Alpha-actinin-1 ,14.0,Ductal_breast
O75828,0.2518773693236676,12.0,0.6011543317091557,0.2569118273710292,Carbonyl reductase [NADPH] 3 ,15.0,Ductal_breast
P20962,0.2331188039733149,6.0,0.3589040983098072,0.18066617708521046,Parathymosin,16.0,Ductal_breast
Q15555,0.23037446009384138,1.0,0.27055563199344246,0.15579980481915628,Microtubule-associated protein RP/EB family member 2 ,17.0,Ductal_breast
P48735,0.22845239623441466,10.0,0.7274390301894409,0.1831526508204299,"Isocitrate dehydrogenase [NADP], mitochondrial ",18.0,Ductal_breast
Q16352,0.21603881479550613,6.0,0.31685246131348355,0.19837844902476937,Alpha-internexin ,19.0,Ductal_breast
Q9Y5V3,0.2043603203967587,10.0,0.5086111709767926,0.23179561670972557,Melanoma-associated antigen D1 ,20.0,Ductal_breast
P20700,0.17898761238300834,8.0,0.5693932455302972,0.18908790779923457,Lamin-B1,21.0,Ductal_breast
Q99959,0.17678469731071705,8.0,0.38526412838875157,0.22425213189338333,Plakophilin-2,22.0,Ductal_breast
P26038,0.17510612284037186,2.0,0.6268662398434144,0.2587074971246721,Moesin ,23.0,Ductal_breast
Q96DG6,0.17431877577121033,7.0,0.4637689770387391,0.21729871457573505,Carboxymethylenebutenolidase homolog ,24.0,Ductal_breast
Q8WUF5,0.173467572215432,12.0,0.5630624969361004,0.23166521369323104,RelA-associated inhibitor ,25.0,Ductal_breast
Q14676,0.17217246461610314,13.0,0.5981599728916285,0.13316421265835357,Mediator of DNA damage checkpoint protein 1 ,26.0,Ductal_breast
Q14151,0.17025120240980282,10.0,0.6690800233663713,0.11335966082186179,Scaffold attachment factor B2 ,27.0,Ductal_breast
P20290,0.16710952547742358,6.0,0.42017595928563944,0.29713370052222204,Transcription factor BTF3 ,28.0,Ductal_breast
P43121,0.15543537686686562,7.0,0.3351380076213978,0.1718875052625272,Cell surface glycoprotein MUC18 ,29.0,Ductal_breast
Q14315,0.13287524530541223,5.0,0.3991217834543229,0.2456361814407668,Filamin-C ,30.0,Ductal_breast
P17301,0.12462411030105751,12.0,0.5635706586226181,0.29433579839104845,Integrin alpha-2 ,31.0,Ductal_breast
Q9NU22,0.12238471104013418,5.0,0.27275866136759597,0.15239095537468342,Midasin ,32.0,Ductal_breast
P50552,0.1176544666482456,10.0,0.6849440042901278,0.17529115007689997,Vasodilator-stimulated phosphoprotein ,33.0,Ductal_breast
O00592,0.11753681300899436,6.0,0.3584127270652545,0.23943546208163513,Podocalyxin ,34.0,Ductal_breast
P19367,0.11732348646987659,10.0,0.8157903759336346,0.07597272883711906,Hexokinase-1 ,35.0,Ductal_breast
P05091,0.11550555801640305,7.0,0.45862304094461076,0.16078599865390034,"Aldehyde dehydrogenase, mitochondrial ",36.0,Ductal_breast
P15924,0.11518149628041088,14.0,0.7849895507112895,0.16083104001245202,Desmoplakin ,37.0,Ductal_breast
Q9UKN8,0.10901296807251863,11.0,0.5846456478143731,0.22342255463793334,General transcription factor 3C polypeptide 4 ,38.0,Ductal_breast
Q9Y5Q9,0.10737776095486987,6.0,0.2568257308793463,0.2033999170835742,General transcription factor 3C polypeptide 3 ,39.0,Ductal_breast
Q99943,0.10397760962234737,4.0,0.24417378550462665,0.18574697398372597,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha ,40.0,Ductal_breast
P46013,0.10223426258937358,11.0,0.6684876127707331,0.21425613537176602,Proliferation marker protein Ki-67 ,41.0,Ductal_breast
Q99584,0.09991982796549896,11.0,0.7067572856409129,0.10597949123235278,Protein S100-A13 ,42.0,Ductal_breast
Q08211,0.09793048235913357,7.0,0.7068724502222802,0.11943153273225554,ATP-dependent RNA helicase A ,43.0,Ductal_breast
Q8TBX8,0.0978504327719524,12.0,0.5964323509470387,0.23815621517274002,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,44.0,Ductal_breast
Q12965,0.09564737466248886,4.0,0.4100559961741249,0.19326057435188002,Unconventional myosin-Ie ,45.0,Ductal_breast
P40121,0.09549239060511731,8.0,0.4156831289476897,0.22927788634315868,Macrophage-capping protein ,46.0,Ductal_breast
Q15029,0.09492371860828801,13.0,0.6333316278022065,0.04369274308792406,116 kDa U5 small nuclear ribonucleoprotein component ,47.0,Ductal_breast
O95817,0.09106882955413499,12.0,0.6513835393691172,0.2088527347062574,BAG family molecular chaperone regulator 3 ,48.0,Ductal_breast
P16401,0.08667215819932171,11.0,0.8151439063270693,0.1724112557005331,Histone H1.5 ,49.0,Ductal_breast
O43719,0.08425545752373473,5.0,0.4328527571140629,0.1803868936823178,HIV Tat-specific factor 1 ,50.0,Ductal_breast
Q8IVF2,0.08308971837488927,9.0,0.4865630960892758,0.22640881477325106,Protein AHNAK2,51.0,Ductal_breast
Q9NUQ3,0.08273760979821547,7.0,0.5774528739101131,0.18530947651214835,Gamma-taxilin ,52.0,Ductal_breast
P07948,0.07851868672777845,4.0,0.2615343280806,0.147866053839184,Tyrosine-protein kinase Lyn ,53.0,Ductal_breast
Q9UGI8,0.0783592414766756,5.0,0.5011905517826408,0.2257764455554346,Testin ,54.0,Ductal_breast
O00154,0.07681925594034975,3.0,0.40867393015072667,0.21600846784699373,Cytosolic acyl coenzyme A thioester hydrolase ,55.0,Ductal_breast
Q9Y223,0.07677909408640578,6.0,0.35855574107171684,0.2275819046571038,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,56.0,Ductal_breast
P61978,0.07359887870450887,2.0,0.41521021600264624,0.2625642193480432,Heterogeneous nuclear ribonucleoprotein K ,57.0,Ductal_breast
Q96RS6,0.07093485683563702,10.0,0.6442311840734826,0.24056683687344818,NudC domain-containing protein 1 ,58.0,Ductal_breast
Q9UDT6,0.0709234689503736,2.0,0.314837863953335,0.20629695269789838,CAP-Gly domain-containing linker protein 2 ,59.0,Ductal_breast
Q92922,0.06901836155846228,8.0,0.37413511346891165,0.19188841388528097,SWI/SNF complex subunit SMARCC1 ,60.0,Ductal_breast
P29218,0.06742025679438696,3.0,0.27091890833979065,0.1768497531830808,Inositol monophosphatase 1 ,61.0,Ductal_breast
P27105,0.06527693898080392,5.0,0.40488459205666194,0.2116672086091451,Stomatin ,62.0,Ductal_breast
